,score
FCER1G,7.02721646174291
TYROBP,6.65968853746665
PLEK,6.326395709690132
ZEB2,5.637339819604108
EFHD2,5.48923502261772
KLRD1,5.312720663656023
PTPN12,5.150535926455973
CST7,5.13130823768995
CCL4,5.094574668531948
HOPX,5.075802151437472
GZMB,4.982353860569049
NKG7,4.914233884608109
GNLY,4.9057336641205325
CTSW,4.8345617179104465
GZMA,4.824030901470678
MYO1F,4.822812322942241
SLAMF7,4.752586073214786
CCL3,4.728351496061748
APOBEC3G,4.701637227605829
KLRB1,4.67172184284334
CTSC,4.533458476075737
GLIPR2,4.417613418917426
GNPTAB,4.381632208760209
TRDC,4.37020182063705
LY6E,4.352685997174575
KLRF1,4.350157142912025
FCGR3A,4.2887893404063675
FEZ1,4.263108598889119
PRF1,4.2623960121703135
C1orf21,4.226178654088841
TNFSF10,4.217977830501724
PTGDR,4.193124021013972
ALOX5AP,4.1577838627072765
HAVCR2,4.151495699208425
GZMH,4.122380179227974
CTSD,4.097423072285636
CLIC3,4.086648374422339
TIGIT,4.059009124213986
TRGC1,4.035752558522688
UTRN,4.017152387983458
CD247,4.008980012625813
AKR1C3,3.998818194579968
CD300A,3.9785873604795654
CXXC5,3.9288825034680883
PYHIN1,3.906023936792991
MYBL1,3.8986273971303547
HIPK2,3.889016038514967
AOAH,3.8798778043372977
IGFBP7,3.8557840873496048
BHLHE40,3.8221121553148407
SAMD3,3.819053003959226
YPEL3,3.8004776910962335
CD38,3.797605800901607
SH2D2A,3.7829339717970925
CEBPD,3.7720642623712877
GNG2,3.7671418900834794
DTHD1,3.764250389944266
CX3CR1,3.757266763903573
PRR5L,3.7329029268341003
CCL5,3.715720748626012
XAF1,3.708246321577832
CTBP2,3.6047406149037613
PTPN4,3.598822830780847
NR3C1,3.5931641188836068
RARRES3,3.5769552567984135
XCL2,3.5701135957086763
SLC15A4,3.5691173552843622
PTPN22,3.564194154407346
KLRC1,3.564028712762166
EOMES,3.5464916221766885
MCTP2,3.5284082151067935
ADGRE5,3.5122073627172767
SYTL3,3.499080576289117
MATK,3.48045140512761
TRANK1,3.4770917520859257
RHOC,3.4653197090127037
PDE4A,3.4559654892481717
TXK,3.455257874064614
FASLG,3.449458025805626
IVNS1ABP,3.4383640449008794
NCR1,3.4183630062074712
PTGER2,3.4066655361629614
OASL,3.370314499022612
DOCK5,3.368807019057016
HCST,3.3599209521949547
STOM,3.3563795619203347
RNF125,3.3464859305814514
LAIR1,3.295452016480482
TGFBR3,3.2928996855237074
LYST,3.290613884095478
RABGAP1L,3.2865499302270678
NCAM1,3.2838274622862684
ID2,3.2808608367255374
TRG-AS1,3.2795245985295765
BIN2,3.262463118149441
CLEC2B,3.255230915346374
PIK3AP1,3.232080132877286
APOBR,3.2304820604916245
RAMP1,3.2233992799423845
SETBP1,3.20202582132427
PPP3CA,3.1995662923587815
APMAP,3.1879337284688916
ARHGAP26,3.1870557001049065
IL18RAP,3.1821382993523457
HSH2D,3.1806910302025244
GAB3,3.1785278599770663
CHST12,3.1735869825302814
C12orf75,3.1648293469954467
S1PR5,3.160925034647761
IL2RB,3.152518168544276
XCL1,3.1425074299306743
RAB27A,3.141312328096461
CHST2,3.1255528375583594
AUTS2,3.1231446811237618
SH2D1B,3.1125252056387467
AHI1,3.1080428142203402
PLA2G16,3.1001822646012727
ARAP2,3.0978765770320535
GABARAPL1,3.0799028199340057
KIR2DL1,3.06901626252764
ZBTB16,3.0682133595851724
AKNA,3.0608135055657044
MXD4,3.056074251492845
ADRB2,3.02230482212795
SLFN5,3.0161787859174467
GOLGA8R,2.9950519706868874
CD244,2.991062037454384
RAB27B,2.975552780857072
TXNIP,2.971295489506815
GK5,2.956420379849959
ZBP1,2.9410900985215562
VPS37B,2.9360691241180064
CMC1,2.9209680858037927
FGFBP2,2.9207413285572272
ADGRG5,2.919441824482817
SAMD9,2.913555802946206
MX2,2.9120502563554282
MINDY2,2.9100768330585822
MYOM2,2.902571195816904
IGF2R,2.901760835571565
GZMM,2.9011095644541456
SYNE1,2.8982048068876054
ELOVL6,2.8961244955829386
SELPLG,2.882123271344028
AC245297.3,2.871158550355716
SLCO4C1,2.869368797666624
ABI3,2.8399964150317203
FES,2.8327365925883896
IL18R1,2.8319231941826217
YPEL1,2.8307189778671216
ADAM8,2.827856478350185
PARP8,2.8212208597768154
ARHGAP9,2.8118263153374983
IFITM3,2.8074270590362858
LINC00996,2.798126145177463
SLFN12L,2.7919208405994027
MX1,2.791809257252737
LINC02084,2.7788445981129257
AC005332.5,2.758967295407899
PLAC8,2.754736242715893
GIMAP6,2.7538899769382112
ADGRG1,2.742201345178586
KIR3DL1,2.7346912887944654
HERC5,2.718371948148217
TPST2,2.7136633518760505
PLCXD2,2.7060486170553304
KLRC2,2.6978649176451768
RIN3,2.687065362105642
SLA,2.6867819845965357
CALCOCO1,2.6804305721214803
NCOA1,2.673820639813556
GNAL,2.6737021515568244
LIM2,2.670399671170486
SUN2,2.6370796133526824
SPON2,2.6280645627705894
CAPN12,2.6271221806447898
ZNF600,2.6185128625781715
RNF165,2.612263642772092
MNAT1,2.609993032146008
KIR2DL4,2.5978133231824927
NCR3,2.57507987347779
SLA2,2.570087347303712
ARHGEF3,2.556542399521959
SLFN13,2.553342388000999
USP28,2.5502832366453845
GFOD1,2.546137804838196
ATP2B4,2.5371666694841224
SNX18,2.506549469662531
AKAP5,2.5040562447359207
GOLGA8M,2.4873168093612605
TRGV7,2.4830694610814987
RTP4,2.481424987700194
FYN,2.4748910094029952
TRIM22,2.47026527205162
SYTL2,2.442244594611225
RAB37,2.437874615128692
TOX,2.4284298029440947
IFIT2,2.423408552344142
TTC38,2.418408568867193
STAT4,2.4148055867947846
B3GAT1,2.4122742467646106
INPP5D,2.4000031167918223
MIR181A2HG,2.3956549568250978
CADM1,2.389942662825746
PRKX,2.3603460087119004
PDE4D,2.3552885763832023
SIGLEC7,2.343873379062188
HOXB4,2.340232281886216
AC006033.2,2.3388971484758656
GIMAP2,2.338734468794712
LINC00299,2.336975373906313
SPON1,2.336546993285822
KLRC4,2.333983614472942
MMP25-AS1,2.3298061438830473
IKZF2,2.3237544045048537
SYNGR1,2.3025862979121
KLRG1,2.2924370468025757
RGS9,2.25690313671943
AC090152.1,2.2474226951988925
ADGRG3,2.244915798550352
STAU2,2.2429969240430268
FAM43A,2.241051258484646
KLRC3,2.2302376169285765
CACNA2D2,2.2124413160192233
LINC002481,2.197815197419345
PSMB8-AS1,2.1845185502035633
KIR2DL3,2.183340710644515
PPP2R2B,2.1705453598995206
PLCB1,2.126514129391026
RGS3,2.1109769769570477
LINC02384,2.0979040488274023
IFNG,2.088552314830494
SASH3,2.0793685082463895
CBLB,2.056457464254791
ST6GALNAC6,2.0125821466155855
GALNT3,2.0012371031808414
CCNJL,1.8921739105910973
MXRA7,1.8349830262825293
